OKA,ROAH,20100470,5174861789,0.569
DLC,ZYTL,19726630,5194588419,0.571
PDX,KPDX,19505884,5214094303,0.573
VKO,UUWW,19445189,5233539492,0.575
AGP,LEMG,19377549,5252917041,0.578
SHE,ZYTX,19374337,5272291378,0.58
SYX,ZJSY,19361410,5291652788,0.582
SUB,WARR,18658631,5310311419,0.584
GVA,LSGG,18346193,5328657612,0.586
LTN,EGGW,18140663,5346798275,0.588
CAI,HECA,18017423,5364815698,0.59
WAW,EPWA,17705245,5382520943,0.592
BNA,KBNA,17686774,5400207717,0.594
YYC,CYYC,17557153,5417764870,0.596
HAM,EDDH,17545466,5435310336,0.598
HKT,VTSP,17433998,5452744334,0.599
LED,ULLI,17134803,5469879137,0.601
PUS,RKPK,16944450,5486823587,0.603
PRG,LKPR,16856847,5503680434,0.605
BSB,SBBR,16783311,5520463745,0.607
PTY,MPTO,16712033,5537175778,0.609
AUS,KAUS,16638333,5553814111,0.611
DAL,KDAL,15987376,5569801487,0.612
TNA,ZSJN,15935634,5585737121,0.614
BUD,LHBP,15771966,5601509087,0.616
MCT,OOMS,15652241,5617161328,0.618
STL,KSTL,15554619,5632715947,0.619
NNG,ZGNN,15343612,5648059559,0.621
SJC,KSJC,15244426,5663303985,0.623
ITM,RJOO,15095287,5678399272,0.624
KWI,OKBK,14914293,5693313565,0.626
FOC,ZSFZ,14790233,5708103798,0.628
EDI,EGPH,14744915,5722848713,0.629
ALC,LEAL,14734423,5737583136,0.631
GDL,MMGL,14622961,5752206097,0.632
NCE,LFMN,14409391,5766615488,0.634
OTP,LROP,14284214,5780899702,0.636
HOU,KHOU,14032458,5794932160,0.637
LHW,ZLLL,13971500,5808903660,0.639
DAD,VVDN,13935325,5822838985,0.64
GIG,SBGL,13904486,5836743471,0.642
ESB,LTAC,13875201,5850618672,0.643
BGY,LIME,13675150,5864293822,0.645
MSY,KMSY,13631606,5877925428,0.646
RDU,KRDU,13625746,5891551174,0.648
CGQ,ZYCC,13341128,5904892302,0.649
PER,YPPH,13341088,5918233390,0.651
AEP,SABE,13206463,5931439853,0.652
OAK,KOAK,13198156,5944638009,0.654
ADD,HAAB,13165751,5957803760,0.655
TYN,ZBYN,13063146,5970866906,0.656
STR,EDDS,12835946,5983702852,0.658
SMF,KSMF,12804522,5996507374,0.659
BHX,EGBB,12742963,6009250337,0.661
EZE,SAEZ,12697876,6021948213,0.662
OPO,LPPR,12647386,6034595599,0.663
CEB,RPVM,12621020,6047216619,0.665
KHN,ZSCN,12524512,6059741131,0.666
NGO,RJGG,12407406,6072148537,0.668
CGN,EDDK,12391662,6084540199,0.669
HET,ZBHH,12356934,6096897133,0.67
WNZ,ZSWZ,12142742,6109039875,0.672
ZUH,ZGSD,11975239,6121015114,0.673
LPA,GCLP,11931251,6132946365,0.674
AMD,VAAH,11915238,6144861603,0.676
LYS,LFLL,11713459,6156575062,0.677
ADB,LTBJ,11701641,6168276703,0.678
NGB,ZSNB,11608578,6179885281,0.679
VCE,LIPZ,11583074,6191468355,0.681
MCI,KMCI,11482345,6202950700,0.682
HFE,ZSOF,11257238,6214207938,0.683
KBP,UKBB,11223092,6225431030,0.684
CNX,VTCC,11171932,6236602962,0.686
UPG,WAAA,11141200,6247744162,0.687
SXF,EDDB,11056766,6258800928,0.688
MTY,MMMY,10802977,6269603905,0.689
DAC,VGZR,10787384,6280391289,0.69
COK,VOCI,10773335,6291164624,0.692
NAP,LIRN,10724313,6301888937,0.693
CNF,SBCF,10644137,6312533074,0.694
SJW,ZBSJ,10592327,6323125401,0.695
CMN,GMMN,10551112,6333676513,0.696
INC,ZLIC,10482898,6344159411,0.697
TFS,GCTS,10400202,6354559613,0.699
VCP,SBKP,10343284,6364902897,0.7
SHJ,OMSJ,10299519,6375202416,0.701
SNA,KSNA,10286917,6385489333,0.702
CMB,VCBI,10207689,6395697022,0.703
CPT,FACT,10191720,6405888742,0.704
CTA,LICC,10089812,6415978554,0.705
MRS,LFML,10038462,6426017016,0.706
SAT,KSAT,10021887,6436038903,0.708
RSW,KRSW,9950211,6445989114,0.709
CLE,KCLE,9774288,6455763402,0.71
MFM,VMMC,9760608,6465524010,0.711
BAH,OBBI,9631453,6475155463,0.712
BKI,WBKK,9502766,6484658229,0.713
TLS,LFBO,9495034,6494153263,0.714
YNT,ZSYT,9484792,6503638055,0.715
PIT,KPIT,9431738,6513069793,0.716
IND,KIND,9414566,6522484359,0.717
BLQ,LIPE,9397772,6531882131,0.718
SJU,TJSJ,9345700,6541227831,0.719
PEN,WMKP,9040930,6550268761,0.72
MDE,SKRG,9001596,6559270357,0.721
SDU,SBRJ,8973776,6568244133,0.722
BRS,EGGD,8943589,6577187722,0.723
ADL,YPAD,8893500,6586081222,0.724
GLA,EGPF,8775620,6594856842,0.725
CVG,KCVG,8769621,6603626463,0.726
FAO,LPFR,8730888,6612357351,0.727
TIJ,MMTJ,8679207,6621036558,0.728
REC,SBRF,8671451,6629708009,0.729
GOI,VAGO,8562883,6638270892,0.73
PNQ,VAPO,8537035,6646807927,0.731
VLC,LEVC,8442574,6655250501,0.732
CMH,KCMH,8383750,6663634251,0.733
BSL,LFSB,8379798,6672014049,0.734
THR,OIII,8378080,6680392129,0.734
BEY,OLBA,8348199,6688740328,0.735
KRK,EPKK,8280616,6697020944,0.736
AMM,OJAI,8227180,6705248124,0.737
JJN,ZSQZ,8223823,6713471947,0.738
POA,SBPA,8170187,6721642134,0.739
KNO,WIMM,8140645,6729782779,0.74
CRL,EBCI,8116110,6737898889,0.741
DMM,OEDF,8109865,6746008754,0.742
KWL,ZGKL,8073899,6754082653,0.743
YEG,CYEG,8060575,6762143228,0.743
IBZ,LEIB,8049120,6770192348,0.744
NBO,HKJK,7950232,6778142580,0.745
WUX,ZSWX,7828083,6785970663,0.746
BOD,LFBD,7825968,6793796631,0.747
KHH,RCKH,7714421,6801511052,0.748
ALG,DAAG,7665577,6809176629,0.749
JOG,WARJ,7650414,6816827043,0.749
SVQ,LEZL,7578663,6824405706,0.75
OGG,PHOG,7560793,6831966499,0.751
SSA,SBSV,7469132,6839435631,0.752
RIX,EVRA,7280502,6846716133,0.753
MLA,LMML,7217101,6853933234,0.754
