IATACode, 2019Passengers 
THR," 8,378,080 "
BEY," 8,348,199 "
KRK," 8,280,616 "
AMM," 8,227,180 "
JJN," 8,223,823 "
POA," 8,170,187 "
KNO," 8,140,645 "
CRL," 8,116,110 "
DMM," 8,109,865 "
KWL," 8,073,899 "
YEG," 8,060,575 "
IBZ," 8,049,120 "
NBO," 7,950,232 "
WUX," 7,828,083 "
BOD," 7,825,968 "
KHH," 7,714,421 "
ALG," 7,665,577 "
JOG," 7,650,414 "
SVQ," 7,578,663 "
OGG," 7,560,793 "
SSA," 7,469,132 "
RIX," 7,280,502 "
MLA," 7,217,101 "
KEF," 7,191,452 "
SWA," 7,190,275 "
FOR," 7,187,111 "
MED," 7,178,629 "
NTE," 7,170,709 "
XNN," 7,099,438 "
ACE," 6,979,532 "
SOF," 6,963,889 "
JAX," 6,931,436 "
LCA," 6,904,866 "
LJG," 6,892,636 "
CHC," 6,874,486 "
RGN," 6,872,121 "
PUJ," 6,841,781 "
PMO," 6,819,276 "
PBI," 6,816,931 "
SKG," 6,805,688 "
MKE," 6,797,626 "
KTM," 6,794,242 "
KHI," 6,743,360 "
TSA," 6,735,329 "
BDL," 6,705,110 "
CXR," 6,692,392 "
HLP," 6,642,868 "
LIN," 6,562,480 "
OOL," 6,550,846 "
LOS," 6,523,251 "
PNH," 6,495,219 "
WLG," 6,490,298 "
GOT," 6,474,152 "
RAK," 6,465,922 "
BPN," 6,457,597 "
GAU," 6,444,321 "
CWB," 6,404,129 "
HER," 6,359,571 "
TUN," 6,352,658 "
BFS," 6,311,808 "
BGO," 6,295,046 "
OVB," 6,282,327 "
EIN," 6,246,233 "
IKA," 6,158,411 "
HAJ," 6,126,444 "
KCH," 6,075,980 "
BUR," 5,983,659 "
CIA," 5,934,023 "
TFN," 5,867,989 "
BIO," 5,854,377 "
LKO," 5,755,619 "
BEG," 5,754,355 "
AER," 5,723,053 "
HAV," 5,698,703 "
KOJ," 5,624,711 "
ALA," 5,603,034 "
DUR," 5,593,789 "
SJO," 5,579,190 "
BRI," 5,578,022 "
PSA," 5,508,061 "
ONT," 5,471,686 "
CTG," 5,467,911 "
CLO," 5,440,490 "
ANC," 5,436,694 "
SVX," 5,423,272 "
JAI," 5,409,687 "
NAY," 5,381,134 "
SJD," 5,344,065 "
UIO," 5,335,389 "
ISB," 5,305,676 "
YOW," 5,286,264 "
ABQ," 5,246,967 "
FUE," 5,230,082 "
NCL," 5,187,501 "
LCY," 5,174,544 "
GDN," 5,138,907 "
MLE," 5,138,735 "
CNS," 5,105,812 "
BTH," 5,102,801 "
JHG," 5,081,714 "
LPL," 5,034,632 "
PLM," 4,992,539 "
OMA," 4,960,315 "
ADA," 4,959,546 "
BUF," 4,936,861 "
SRG," 4,895,409 "
SAL," 4,892,963 "
PVR," 4,819,812 "
TAE," 4,819,186 "
LHE," 4,797,743 "
CAG," 4,785,045 "
CHS," 4,747,310 "
LXA," 4,713,453 "
EMA," 4,702,106 "
MBJ," 4,680,829 "
MEM," 4,663,801 "
JHB," 4,630,222 "
SIP," 4,606,917 "
HRG," 4,596,959 "
DVO," 4,563,003 "
PAT," 4,535,850 "
REP," 4,495,468 "
TAS," 4,422,246 "
MSQ," 4,412,642 "
TSE," 4,389,848 "
RIC," 4,379,183 "
GYD," 4,374,717 "
YWG," 4,357,894 "
VNO," 4,355,961 "
RNO," 4,347,453 "
TRD," 4,312,365 "
OKC," 4,298,654 "
LUX," 4,271,812 "
KRR," 4,255,338 "
YHZ," 4,250,754 "
CRK," 4,209,790 "
RHO," 4,184,841 "
SDQ," 4,157,871 "
SDF," 4,130,552 "
BOI," 4,116,610 "
ABV," 4,110,600 "
SVG," 4,108,854 "
NUE," 4,088,807 "
ORF," 4,063,086 "
BBI," 4,059,867 "
TRN," 4,057,459 "
MHD," 4,047,866 "
BVA," 4,020,847 "
GYE," 4,005,382 "
LBA," 4,000,937 "
PNK," 3,980,877 "
DLM," 3,970,716 "
PVD," 3,966,327 "
TRV," 3,938,500 "
MIG," 3,938,172 "
CUZ," 3,902,008 "
GEG," 3,888,506 "
TBS," 3,847,816 "
NAS," 3,824,229 "
AHB," 3,822,444 "
KOA," 3,795,347 "
HDY," 3,774,748 "
ECN," 3,774,631 "
MRU," 3,763,471 "
KBV," 3,763,262 "
FLN," 3,763,030 "
GUM," 3,745,017 "
BJV," 3,683,024 "
KTW," 3,675,405 "
TUS," 3,668,314 "
TZX," 3,630,047 "
CCJ," 3,613,240 "
GRR," 3,582,595 "
CZX," 3,575,215 "
PKU," 3,540,594 "
BEL," 3,526,723 "
VRN," 3,504,914 "
BDJ," 3,496,493 "
PDG," 3,491,869 "
LGB," 3,486,258 "
VVI," 3,477,271 "
